Club,Country,Level,Elo,From,To
Man City,ENG,1,2029.86743164,2022-11-13,2022-12-28
Bayern,GER,1,2015.61816406,2022-11-13,2022-12-31
Liverpool,ENG,1,1999.84973145,2022-11-13,2022-12-26
Real Madrid,ESP,1,1951.81982422,2022-11-11,2022-12-31
Arsenal,ENG,1,1921.23168945,2022-11-13,2022-12-26
Paris SG,FRA,1,1904.73352051,2022-11-14,2022-12-31
Napoli,ITA,1,1904.51416016,2022-11-14,2022-12-31
Barcelona,ESP,1,1882.66552734,2022-11-13,2022-12-31
Chelsea,ENG,1,1881.04138184,2022-11-13,2022-12-27
Tottenham,ENG,1,1876.11767578,2022-11-13,2022-12-26
Benfica,POR,1,1855.62695312,2022-11-14,2022-12-31
Man United,ENG,1,1849.78540039,2022-11-14,2022-12-27
RB Leipzig,GER,1,1843.02526855,2022-11-13,2022-12-31
Inter,ITA,1,1842.7253418,2022-11-14,2022-12-31
Newcastle,ENG,1,1841.8684082,2022-11-14,2022-12-26
Porto,POR,1,1840.90454102,2022-11-14,2022-12-31
Milan,ITA,1,1839.44445801,2022-11-14,2022-12-31
Ajax,NED,1,1808.41638184,2022-11-13,2022-12-31
Dortmund,GER,1,1802.46435547,2022-11-12,2022-12-31
Brighton,ENG,1,1791.26159668,2022-11-14,2022-12-26
Atletico,ESP,1,1788.72265625,2022-11-10,2022-12-31
Freiburg,GER,1,1787.44799805,2022-11-14,2022-12-31
Frankfurt,GER,1,1787.15576172,2022-11-14,2022-12-31
Leicester,ENG,1,1786.01062012,2022-11-14,2022-12-26
Juventus,ITA,1,1770.87841797,2022-11-14,2022-12-31
West Ham,ENG,1,1768.08251953,2022-11-14,2022-12-26
Crystal Palace,ENG,1,1763.84313965,2022-11-14,2022-12-26
Betis,ESP,1,1763.44543457,2022-11-14,2022-12-31
Villarreal,ESP,1,1761.84411621,2022-11-14,2022-12-31
Leverkusen,GER,1,1759.24829102,2022-11-14,2022-12-31
Sociedad,ESP,1,1751.17907715,2022-11-14,2022-12-31
Union Berlin,GER,1,1749.99633789,2022-11-14,2022-12-31
PSV,NED,1,1749.19995117,2022-11-13,2022-12-31
Sporting,POR,1,1746.60925293,2022-11-14,2022-12-31
Aston Villa,ENG,1,1744.40905762,2022-11-14,2022-12-26
Rennes,FRA,1,1742.81677246,2022-11-14,2022-12-31
Brentford,ENG,1,1739.36816406,2022-11-14,2022-12-26
Marseille,FRA,1,1736.75183105,2022-11-14,2022-12-31
Roma,ITA,1,1734.08703613,2022-11-14,2022-12-31
Atalanta,ITA,1,1732.27441406,2022-11-14,2022-12-31
